Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010011267457,11-Jan-10,1/4/10 0:00,BOS,Boston (Logan) International Airport ,British Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2010011267468,11-Jan-10,1/8/10 17:50,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checkpoint,Personal Accessories,$0.00 ,Deny
2010011267471,11-Jan-10,1/6/10 9:00,JFK,John F. Kennedy International,Virgin America,Property Damage,Checkpoint,Baggage/Cases/Purses; Personal Electronics,$354.00 ,Approve in Full
2010011267474,11-Jan-10,1/3/10 12:20,GUC,Gunnison - Crested Butte Regional Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras,-,-
2010011467554,11-Jan-10,1/1/10 0:00,SNA,John Wayne,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010011967624,11-Jan-10,1/2/10 5:40,ORD,Chicago O'Hare International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,"Books, Magazines & Other; Clothing; Other",$0.00 ,Deny
2010011967625,11-Jan-10,1/3/10 0:00,PBI,Palm Beach International,USAir  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010011967632,11-Jan-10,1/1/10 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cameras; Clothing,$0.00 ,Deny
2010011367495,12-Jan-10,1/8/10 12:19,TUL,Tulsa International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010011367497,12-Jan-10,1/6/10 0:00,OAK,Metropolitan Oakland International,Alaska Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$466.20 ,Settle
2010011367500,12-Jan-10,1/10/10 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,AirTran Airlines,Passenger Property Loss,Checkpoint,Clothing,-,-
2010011367507,12-Jan-10,1/2/10 13:00,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches; Other,$0.00 ,Deny
2010011367513,12-Jan-10,1/9/10 7:00,SLC,Salt Lake City International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Home Decor,$0.00 ,Deny
2010011367522,12-Jan-10,1/9/10 7:36,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,$0.00 ,Deny
2010011367526,12-Jan-10,1/5/10 17:50,SYR,Syracuse-Hancock International,USAir  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$251.95 ,Settle
2010011367527,12-Jan-10,1/8/10 0:00,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
