Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2010041270687,7-Apr-10,1/17/10 10:45,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,$416.26 ,Settle
2010041270694,7-Apr-10,2/5/10 0:00,AUS,Austin-Bergstrom International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010041270703,7-Apr-10,3/23/10 11:16,TPA,Tampa International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,-
2010041370717,7-Apr-10,4/13/10 0:00,-,-,-,Passenger Property Loss,-,Cosmetics & Grooming; Other,-,-
2010041370719,7-Apr-10,2/11/10 9:25,FLL,Ft. Lauderdale-Hollywood International,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras,$0.00 ,Deny
2010041370721,7-Apr-10,3/17/10 14:30,PHX,Phoenix Sky Harbor International,USAir  ,Property Damage,Checkpoint,Travel Accessories,$399.99 ,Approve in Full
2010041370724,7-Apr-10,3/6/10 9:30,OAK,Metropolitan Oakland International,Delta Air Lines  ,Personal Injury,Checked Baggage,Baggage/Cases/Purses; Personal Accessories,$0.00 ,Deny
2010041370727,7-Apr-10,3/24/10 18:45,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Computer & Accessories; Household Items,$0.00 ,Deny
2010041370730,7-Apr-10,3/19/10 6:50,GRK,Kileen - Ft. Hood Regional,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$40.00 ,Approve in Full
2010041370731,7-Apr-10,3/21/10 9:34,BUR,Bob Hope ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories; Personal Electronics,$0.00 ,Deny
2010041370733,7-Apr-10,3/9/10 7:45,SJU,Luis Munoz Marin International,American Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,Deny
2010041370734,7-Apr-10,3/25/10 0:00,STT,Cyril E. King International,USAir  ,Property Damage,Checked Baggage,Food & Drink,$40.29 ,Approve in Full
2010041370737,7-Apr-10,2/28/10 4:45,SEA,Seattle-Tacoma International,American Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2010040770530,8-Apr-10,3/26/10 0:00,RSW,Southwest Florida International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2010040870604,8-Apr-10,2/23/10 0:00,BQN,Rafael Hernandez,Spirit Airlines,Property Damage,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010040970656,8-Apr-10,4/5/10 12:00,GUC,Gunnison - Crested Butte Regional Airport,UAL  ,Property Damage,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010040970663,8-Apr-10,3/23/10 11:20,SNA,John Wayne,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Accessories,$0.00 ,Deny
2010040970671,8-Apr-10,3/28/10 0:00,DFW,Dallas-Fort Worth International Airport ,Delta Air Lines  ,Passenger Property Loss,Other,Clothing,-,-
2010040970674,8-Apr-10,4/1/10 0:00,BOS,Boston (Logan) International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010040970675,8-Apr-10,4/4/10 13:30,MCO,Orlando International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010041270677,8-Apr-10,3/14/10 9:45,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Medical/Science,$0.00 ,Deny
2010041270679,8-Apr-10,4/2/10 6:30,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010041270680,8-Apr-10,3/30/10 10:00,FLL,Ft. Lauderdale-Hollywood International,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Other,$15.00 ,Approve in Full
2010041270682,8-Apr-10,3/29/10 9:00,PHX,Phoenix Sky Harbor International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,$125.00 ,Settle
2010041270683,8-Apr-10,3/6/10 14:48,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010041270692,8-Apr-10,3/16/10 9:15,MKE,General Mitchell International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$158.20 ,Approve in Full
2010041270697,8-Apr-10,4/6/10 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,$0.00 ,Deny
2010041270700,8-Apr-10,3/15/10 19:10,PBI,Palm Beach International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Other,$32.17 ,Settle
2010041270702,8-Apr-10,4/5/10 10:45,AMA,Rick Husband Amarillo International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010041270705,8-Apr-10,3/30/10 6:00,ORD,Chicago O'Hare International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$149.99 ,Approve in Full
2010041270712,8-Apr-10,4/6/10 16:30,EWR,Newark International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Personal Electronics,-,-
2010041370739,8-Apr-10,2/22/10 0:00,DEN,Denver International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Personal Accessories; Personal Electronics,$0.00 ,Deny
2010041370740,8-Apr-10,3/26/10 7:28,ABQ,Albuquerque International Sunport Airport,USAir  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010041370743,8-Apr-10,3/17/10 0:00,ENV,Wendover Municipal Airport,Maxair,Passenger Property Loss,Checkpoint,Currency,$0.00 ,Deny
